"","X","ID","Sample.No","locus","index","well","site","C","T","total","C_Ratio","age","Sex","Population","ind"
"959",1248,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_90",19,1888,1907,0.00996329313057158,37,"M","NR","4F"
"963",1252,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_148",56,1440,1496,0.0374331550802139,37,"M","NR","4F"
"964",1253,"G06","kw96-05","CRF","4F","CRF_4F_S30_sort.bam","CRF_27",30,226,256,0.1171875,37,"M","NR","4F"
"965",1254,"G06","kw96-05","CRF","4F","CRF_4F_S30_sort.bam","CRF_33",101,155,256,0.39453125,37,"M","NR","4F"
"966",1255,"G06","kw96-05","BDNF","4F","BDNF_4F_S30_sort.bam","BDNF_37",678,17882,18560,0.0365301724137931,37,"M","NR","4F"
"967",1256,"G06","kw96-05","BDNF","4F","BDNF_4F_S30_sort.bam","BDNF_45",113,18256,18369,0.00615166857205074,37,"M","NR","4F"
"968",1257,"G06","kw96-05","BDNF","4F","BDNF_4F_S30_sort.bam","BDNF_48",190,18367,18557,0.01023872393167,37,"M","NR","4F"
"973",1266,"G06","kw96-05","ACTB","10F","ACTB_10F_S78_sort.bam","ACTB_36",9,23787,23796,0.00037821482602118,37,"M","NR","10F"
"974",1267,"G06","kw96-05","ACTB","10F","ACTB_10F_S78_sort.bam","ACTB_49",5,23884,23889,0.000209301352086734,37,"M","NR","10F"
"975",1271,"G06","kw96-05","CRF","4F","CRF_4F_S30_sort.bam","CRF_92",52,203,255,0.203921568627451,37,"M","NR","4F"
"976",1272,"G06","kw96-05","CRF","4F","CRF_4F_S30_sort.bam","CRF_95",25,231,256,0.09765625,37,"M","NR","4F"
"977",1273,"G06","kw96-05","CRF","4F","CRF_4F_S30_sort.bam","CRF_113",161,93,254,0.633858267716535,37,"M","NR","4F"
"982",1278,"G06","kw96-05","ACTB","10F","ACTB_10F_S78_sort.bam","ACTB_29",0,23763,23763,0,37,"M","NR","10F"
"985",1281,"G06","kw96-05","ACTB","10F","ACTB_10F_S78_sort.bam","ACTB_51",11,23876,23887,0.000460501528027798,37,"M","NR","10F"
"986",1282,"G06","kw96-05","ACTB","10F","ACTB_10F_S78_sort.bam","ACTB_54",8,23887,23895,0.000334798074911069,37,"M","NR","10F"
"988",1284,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_160",18,1631,1649,0.0109157064887811,37,"M","NR","4F"
"989",1285,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_165",87,1559,1646,0.0528554070473876,37,"M","NR","4F"
"999",1298,"G06","kw96-05","BDNF","4F","BDNF_4F_S30_sort.bam","BDNF_51",1611,16941,18552,0.0868369987063389,37,"M","NR","4F"
"1017",1319,"G06","kw96-05","BDNF","4F","BDNF_4F_S30_sort.bam","BDNF_57",313,18287,18600,0.0168279569892473,37,"M","NR","4F"
"1023",1325,"G06","kw96-05","BDNF","4F","BDNF_4F_S30_sort.bam","BDNF_81",212,18281,18493,0.0114637971124209,37,"M","NR","4F"
"1027",1330,"G16","kw95-06","BDNF","4G","BDNF_4G_S31_sort.bam","BDNF_51",912,13233,14145,0.064475079533404,24,"F","NR","4G"
"1028",1331,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_160",2,1400,1402,0.0014265335235378,24,"F","NR","4G"
"1029",1332,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_165",4,1399,1403,0.00285103349964362,24,"F","NR","4G"
"1041",1344,"G16","kw95-06","BDNF","4G","BDNF_4G_S31_sort.bam","BDNF_57",2,14158,14160,0.000141242937853107,24,"F","NR","4G"
"1042",1345,"G16","kw95-06","BDNF","4G","BDNF_4G_S31_sort.bam","BDNF_81",2,14116,14118,0.000141663125088539,24,"F","NR","4G"
"1043",1347,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_148",2,1246,1248,0.0016025641025641,24,"F","NR","4G"
"1044",1349,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_132",36,1519,1555,0.0231511254019293,24,"F","NR","4G"
"1045",1351,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_157",9,1394,1403,0.00641482537419815,24,"F","NR","4G"
"1046",1353,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_154",1,1401,1402,0.000713266761768902,24,"F","NR","4G"
"1047",1354,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_66",52,1558,1610,0.0322981366459627,24,"F","NR","4G"
"1048",1355,"G16","kw95-06","BDNF","4G","BDNF_4G_S31_sort.bam","BDNF_26",1147,12960,14107,0.0813071524774934,24,"F","NR","4G"
"1049",1356,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_151",1,1402,1403,0.000712758374910905,24,"F","NR","4G"
"1050",1357,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_45",34,1578,1612,0.0210918114143921,24,"F","NR","4G"
"1051",1358,"G16","kw95-06","BDNF","4G","BDNF_4G_S31_sort.bam","BDNF_45",836,13077,13913,0.0600876877740243,24,"F","NR","4G"
"1052",1361,"G16","kw95-06","BDNF","4G","BDNF_4G_S31_sort.bam","BDNF_37",916,13228,14144,0.064762443438914,24,"F","NR","4G"
"1054",1363,"G16","kw95-06","BDNF","4G","BDNF_4G_S31_sort.bam","BDNF_48",515,13625,14140,0.0364214992927864,24,"F","NR","4G"
"1071",1391,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_90",24,1568,1592,0.0150753768844221,24,"F","NR","4G"
"1072",1392,"G16","kw95-06","NP","4G","NP_4G_S31_merge.bam","NP_92",53,1539,1592,0.0332914572864322,24,"F","NR","4G"
"1073",1393,"G16","kw95-06","CRF","4G","CRF_4G_S31_sort.bam","CRF_95",6,471,477,0.0125786163522013,24,"F","NR","4G"
"1074",1394,"G16","kw95-06","CRF","4G","CRF_4G_S31_sort.bam","CRF_113",436,40,476,0.915966386554622,24,"F","NR","4G"
"1085",1411,"G16","kw95-06","CRF","4G","CRF_4G_S31_sort.bam","CRF_49",78,399,477,0.163522012578616,24,"F","NR","4G"
"1086",1412,"G16","kw95-06","CRF","4G","CRF_4G_S31_sort.bam","CRF_73",49,427,476,0.102941176470588,24,"F","NR","4G"
"1089",1416,"G16","kw95-06","CRF","4G","CRF_4G_S31_sort.bam","CRF_27",316,161,477,0.662473794549266,24,"F","NR","4G"
"1090",1417,"G16","kw95-06","CRF","4G","CRF_4G_S31_sort.bam","CRF_33",33,444,477,0.0691823899371069,24,"F","NR","4G"
"1093",1420,"G16","kw95-06","CRF","4G","CRF_4G_S31_sort.bam","CRF_92",42,434,476,0.0882352941176471,24,"F","NR","4G"
"1101",1433,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_151",0,1355,1355,0,19,"F","NR","4H"
"1102",1436,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_154",0,1364,1364,0,19,"F","NR","4H"
"1109",1469,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_92",2,1622,1624,0.00123152709359606,19,"F","NR","4H"
"1110",1470,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_132",0,1562,1562,0,19,"F","NR","4H"
"1111",1471,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_148",2,1243,1245,0.00160642570281125,19,"F","NR","4H"
"1112",1472,"G23","kw99-10","CRF","4H","CRF_4H_S32_sort.bam","CRF_27",20,179,199,0.100502512562814,19,"F","NR","4H"
"1113",1473,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_157",0,1363,1363,0,19,"F","NR","4H"
"1114",1474,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_160",3,1361,1364,0.00219941348973607,19,"F","NR","4H"
"1115",1475,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_165",1,1361,1362,0.000734214390602056,19,"F","NR","4H"
"1118",1481,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_90",44,1579,1623,0.0271102895871842,19,"F","NR","4H"
"1121",1486,"G23","kw99-10","BDNF","4H","BDNF_4H_S32_sort.bam","BDNF_26",1834,5104,6938,0.264341308734506,19,"F","NR","4H"
"1122",1489,"G23","kw99-10","BDNF","4H","BDNF_4H_S32_sort.bam","BDNF_48",493,6461,6954,0.0708944492378487,19,"F","NR","4H"
"1123",1490,"G23","kw99-10","BDNF","4H","BDNF_4H_S32_sort.bam","BDNF_51",312,6643,6955,0.0448598130841121,19,"F","NR","4H"
"1124",1491,"G23","kw99-10","BDNF","4H","BDNF_4H_S32_sort.bam","BDNF_57",0,6949,6949,0,19,"F","NR","4H"
"1132",1500,"G23","kw99-10","CRF","4H","CRF_4H_S32_sort.bam","CRF_33",53,146,199,0.266331658291457,19,"F","NR","4H"
"1133",1501,"G23","kw99-10","CRF","4H","CRF_4H_S32_sort.bam","CRF_49",25,174,199,0.125628140703518,19,"F","NR","4H"
"1134",1504,"G23","kw99-10","CRF","4H","CRF_4H_S32_sort.bam","CRF_95",24,175,199,0.120603015075377,19,"F","NR","4H"
"1141",1515,"G23","kw99-10","CRF","4H","CRF_4H_S32_sort.bam","CRF_73",41,158,199,0.206030150753769,19,"F","NR","4H"
"1142",1516,"G23","kw99-10","CRF","4H","CRF_4H_S32_sort.bam","CRF_92",0,199,199,0,19,"F","NR","4H"
"1144",1518,"G23","kw99-10","CRF","4H","CRF_4H_S32_sort.bam","CRF_113",117,74,191,0.612565445026178,19,"F","NR","4H"
"1145",1519,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_45",0,1652,1652,0,19,"F","NR","4H"
"1146",1520,"G23","kw99-10","NP","4H","NP_4H_S32_merge.bam","NP_66",3,1646,1649,0.00181928441479685,19,"F","NR","4H"
"1150",1526,"G23","kw99-10","BDNF","4H","BDNF_4H_S32_sort.bam","BDNF_45",4,6859,6863,0.000582835494681626,19,"F","NR","4H"
"1153",1529,"G23","kw99-10","BDNF","4H","BDNF_4H_S32_sort.bam","BDNF_81",2,6907,6909,0.00028947749312491,19,"F","NR","4H"
"1154",1530,"G23","kw99-10","BDNF","4H","BDNF_4H_S32_sort.bam","BDNF_37",909,6047,6956,0.130678550891317,19,"F","NR","4H"
"1155",1532,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_148",0,687,687,0,26,"F","NR","5A"
"1156",1535,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_151",0,782,782,0,26,"F","NR","5A"
"1159",1548,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_132",0,880,880,0,26,"F","NR","5A"
"1162",1562,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_90",0,904,904,0,26,"F","NR","5A"
"1164",1565,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_157",0,783,783,0,26,"F","NR","5A"
"1165",1568,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_154",1,782,783,0.00127713920817369,26,"F","NR","5A"
"1166",1570,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_160",0,780,780,0,26,"F","NR","5A"
"1167",1571,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_165",0,784,784,0,26,"F","NR","5A"
"1170",1576,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_92",0,904,904,0,26,"F","NR","5A"
"1171",1581,"G25","kw01-14","BDNF","5A","BDNF_5A_S33_sort.bam","BDNF_26",1581,15633,17214,0.0918438480306727,26,"F","NR","5A"
"1174",1584,"G25","kw01-14","BDNF","5A","BDNF_5A_S33_sort.bam","BDNF_45",227,17920,18147,0.0125089546481512,26,"F","NR","5A"
"1175",1585,"G25","kw01-14","BDNF","5A","BDNF_5A_S33_sort.bam","BDNF_48",18,18293,18311,0.000983015673638796,26,"F","NR","5A"
"1176",1586,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_45",0,910,910,0,26,"F","NR","5A"
"1177",1587,"G25","kw01-14","NP","5A","NP_5A_S33_merge.bam","NP_66",0,910,910,0,26,"F","NR","5A"
"1190",1606,"G25","kw01-14","BDNF","5A","BDNF_5A_S33_sort.bam","BDNF_37",16,18288,18304,0.000874125874125874,26,"F","NR","5A"
"1194",1610,"G25","kw01-14","BDNF","5A","BDNF_5A_S33_sort.bam","BDNF_57",9,18370,18379,0.000489689319331846,26,"F","NR","5A"
"1205",1626,"G25","kw01-14","BDNF","5A","BDNF_5A_S33_sort.bam","BDNF_51",3490,14819,18309,0.190616636626796,26,"F","NR","5A"
"1210",1632,"G25","kw01-14","BDNF","5A","BDNF_5A_S33_sort.bam","BDNF_81",7,18758,18765,0.000373034905409006,26,"F","NR","5A"
"1216",1640,"G32","kw00-08","BDNF","5B","BDNF_5B_S34_sort.bam","BDNF_26",2269,16010,18279,0.124131517041414,18,"M","NR","5B"
"1217",1641,"G32","kw00-08","BDNF","5B","BDNF_5B_S34_sort.bam","BDNF_51",1228,17540,18768,0.0654305200341006,18,"M","NR","5B"
"1218",1645,"G32","kw00-08","BDNF","5B","BDNF_5B_S34_sort.bam","BDNF_37",377,18389,18766,0.0200895236065224,18,"M","NR","5B"
"1219",1646,"G32","kw00-08","BDNF","5B","BDNF_5B_S34_sort.bam","BDNF_45",236,18335,18571,0.0127079855688977,18,"M","NR","5B"
"1220",1647,"G32","kw00-08","BDNF","5B","BDNF_5B_S34_sort.bam","BDNF_57",330,18457,18787,0.0175653377335391,18,"M","NR","5B"
"1221",1648,"G32","kw00-08","BDNF","5B","BDNF_5B_S34_sort.bam","BDNF_81",173,18506,18679,0.0092617377803951,18,"M","NR","5B"
"1223",1650,"G32","kw00-08","ACTB","11B","ACTB_11B_S82_sort.bam","ACTB_71",2,30002,30004,6.6657778962805e-05,18,"M","NR","11B"
"1224",1651,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_148",1,708,709,0.00141043723554302,18,"M","NR","5B"
"1225",1652,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_132",7,862,869,0.00805523590333717,18,"M","NR","5B"
"1226",1653,"G32","kw00-08","ACTB","11B","ACTB_11B_S82_sort.bam","ACTB_29",4,29361,29365,0.000136216584369147,18,"M","NR","11B"
"1227",1654,"G32","kw00-08","ACTB","11B","ACTB_11B_S82_sort.bam","ACTB_65",1438,28586,30024,0.0478950173194777,18,"M","NR","11B"
"1228",1655,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_92",7,893,900,0.00777777777777778,18,"M","NR","5B"
"1229",1656,"G32","kw00-08","CRF","5B","CRF_5B_S34_sort.bam","CRF_49",18,256,274,0.0656934306569343,18,"M","NR","5B"
"1230",1657,"G32","kw00-08","CRF","5B","CRF_5B_S34_sort.bam","CRF_73",4,269,273,0.0146520146520147,18,"M","NR","5B"
"1233",1662,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_151",8,766,774,0.0103359173126615,18,"M","NR","5B"
"1234",1664,"G32","kw00-08","CRF","5B","CRF_5B_S34_sort.bam","CRF_33",64,207,271,0.236162361623616,18,"M","NR","5B"
"1235",1665,"G32","kw00-08","ACTB","11B","ACTB_11B_S82_sort.bam","ACTB_51",1373,28609,29982,0.0457941431525582,18,"M","NR","11B"
"1239",1670,"G32","kw00-08","BDNF","5B","BDNF_5B_S34_sort.bam","BDNF_48",347,18420,18767,0.0184899024884105,18,"M","NR","5B"
"1240",1671,"G32","kw00-08","ACTB","11B","ACTB_11B_S82_sort.bam","ACTB_54",5,30001,30006,0.000166633339998667,18,"M","NR","11B"
"1241",1672,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_154",5,772,777,0.00643500643500643,18,"M","NR","5B"
"1256",1690,"G32","kw00-08","CRF","5B","CRF_5B_S34_sort.bam","CRF_92",41,233,274,0.14963503649635,18,"M","NR","5B"
"1257",1691,"G32","kw00-08","CRF","5B","CRF_5B_S34_sort.bam","CRF_95",6,268,274,0.0218978102189781,18,"M","NR","5B"
"1258",1692,"G32","kw00-08","CRF","5B","CRF_5B_S34_sort.bam","CRF_113",177,90,267,0.662921348314607,18,"M","NR","5B"
"1270",1708,"G32","kw00-08","ACTB","11B","ACTB_11B_S82_sort.bam","ACTB_74",7,30019,30026,0.000233131286218611,18,"M","NR","11B"
"1274",1713,"G32","kw00-08","ACTB","11B","ACTB_11B_S82_sort.bam","ACTB_49",10,29975,29985,0.000333500083375021,18,"M","NR","11B"
"1275",1714,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_90",1,901,902,0.00110864745011086,18,"M","NR","5B"
"1280",1719,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_157",0,778,778,0,18,"M","NR","5B"
"1281",1720,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_160",0,779,779,0,18,"M","NR","5B"
"1282",1721,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_165",30,748,778,0.038560411311054,18,"M","NR","5B"
"1285",1725,"G32","kw00-08","ACTB","11B","ACTB_11B_S82_sort.bam","ACTB_36",1066,28330,29396,0.0362634372023405,18,"M","NR","11B"
"1286",1726,"G32","kw00-08","CRF","5B","CRF_5B_S34_sort.bam","CRF_27",19,250,269,0.0706319702602231,18,"M","NR","5B"
"1293",1733,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_45",15,903,918,0.0163398692810458,18,"M","NR","5B"
"1294",1734,"G32","kw00-08","NP","5B","NP_5B_S34_merge.bam","NP_66",1,917,918,0.00108932461873638,18,"M","NR","5B"
"1295",1735,"G33","kw95-4","ACTB","11C","ACTB_11C_S83_sort.bam","ACTB_74",5,30642,30647,0.000163148105850491,17,"M","NR","11C"
"1297",1738,"G33","kw95-4","ACTB","11C","ACTB_11C_S83_sort.bam","ACTB_29",1804,28148,29952,0.0602297008547009,17,"M","NR","11C"
"1298",1742,"G33","kw95-4","ACTB","11C","ACTB_11C_S83_sort.bam","ACTB_49",3,30566,30569,9.81386371814583e-05,17,"M","NR","11C"
"1301",1745,"G33","kw95-4","ACTB","11C","ACTB_11C_S83_sort.bam","ACTB_36",251,29718,29969,0.00837532116520404,17,"M","NR","11C"
"1306",1751,"G33","kw95-4","ACTB","11C","ACTB_11C_S83_sort.bam","ACTB_71",5,30626,30631,0.000163233325715778,17,"M","NR","11C"
"1316",1763,"G33","kw95-4","ACTB","11C","ACTB_11C_S83_sort.bam","ACTB_54",1666,28917,30583,0.0544747081712062,17,"M","NR","11C"
"1317",1764,"G33","kw95-4","ACTB","11C","ACTB_11C_S83_sort.bam","ACTB_65",1093,29550,30643,0.0356688313807395,17,"M","NR","11C"
"1320",1770,"G33","kw95-4","CRF","5C","CRF_5C_S35_sort.bam","CRF_33",102,216,318,0.320754716981132,17,"M","NR","5C"
"1321",1771,"G33","kw95-4","CRF","5C","CRF_5C_S35_sort.bam","CRF_49",130,191,321,0.404984423676012,17,"M","NR","5C"
"1322",1772,"G33","kw95-4","CRF","5C","CRF_5C_S35_sort.bam","CRF_73",157,164,321,0.489096573208723,17,"M","NR","5C"
"1323",1773,"G33","kw95-4","CRF","5C","CRF_5C_S35_sort.bam","CRF_92",9,312,321,0.0280373831775701,17,"M","NR","5C"
"1325",1775,"G33","kw95-4","ACTB","11C","ACTB_11C_S83_sort.bam","ACTB_51",5,30560,30565,0.000163585800752495,17,"M","NR","11C"
"1328",1779,"G33","kw95-4","BDNF","5C","BDNF_5C_S35_sort.bam","BDNF_57",1278,16299,17577,0.0727086533538146,17,"M","NR","5C"
"1340",1792,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_45",0,909,909,0,17,"M","NR","5C"
"1341",1793,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_66",0,908,908,0,17,"M","NR","5C"
"1344",1800,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_157",1,804,805,0.00124223602484472,17,"M","NR","5C"
"1345",1801,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_160",3,803,806,0.00372208436724566,17,"M","NR","5C"
"1349",1806,"G33","kw95-4","BDNF","5C","BDNF_5C_S35_sort.bam","BDNF_51",910,16668,17578,0.0517692570258277,17,"M","NR","5C"
"1350",1807,"G33","kw95-4","BDNF","5C","BDNF_5C_S35_sort.bam","BDNF_81",2016,15508,17524,0.115042227801872,17,"M","NR","5C"
"1352",1809,"G33","kw95-4","CRF","5C","CRF_5C_S35_sort.bam","CRF_27",64,255,319,0.200626959247649,17,"M","NR","5C"
"1358",1815,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_132",0,876,876,0,17,"M","NR","5C"
"1359",1816,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_165",0,805,805,0,17,"M","NR","5C"
"1360",1817,"G33","kw95-4","BDNF","5C","BDNF_5C_S35_sort.bam","BDNF_45",6,17421,17427,0.000344293337923911,17,"M","NR","5C"
"1361",1818,"G33","kw95-4","BDNF","5C","BDNF_5C_S35_sort.bam","BDNF_48",3,17573,17576,0.000170687300864816,17,"M","NR","5C"
"1363",1820,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_148",18,697,715,0.0251748251748252,17,"M","NR","5C"
"1366",1823,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_92",4,895,899,0.00444938820912125,17,"M","NR","5C"
"1368",1825,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_151",0,804,804,0,17,"M","NR","5C"
"1369",1826,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_154",18,789,807,0.0223048327137546,17,"M","NR","5C"
"1371",1828,"G33","kw95-4","BDNF","5C","BDNF_5C_S35_sort.bam","BDNF_37",815,16765,17580,0.0463594994311718,17,"M","NR","5C"
"1372",1829,"G33","kw95-4","CRF","5C","CRF_5C_S35_sort.bam","CRF_95",24,297,321,0.0747663551401869,17,"M","NR","5C"
"1373",1831,"G33","kw95-4","CRF","5C","CRF_5C_S35_sort.bam","CRF_113",96,216,312,0.307692307692308,17,"M","NR","5C"
"1376",1834,"G33","kw95-4","NP","5C","NP_5C_S35_merge.bam","NP_90",9,890,899,0.0100111234705228,17,"M","NR","5C"
"1377",1835,"G33","kw95-4","BDNF","5C","BDNF_5C_S35_sort.bam","BDNF_26",2186,14882,17068,0.128075931567846,17,"M","NR","5C"
"1381",1839,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_165",6,886,892,0.00672645739910314,19,"M","NR","5D"
"1385",1843,"H04","kw93-25","CRF","5D","CRF_5D_S36_sort.bam","CRF_113",139,73,212,0.655660377358491,19,"M","NR","5D"
"1386",1844,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_151",21,869,890,0.0235955056179775,19,"M","NR","5D"
"1389",1847,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_157",15,879,894,0.0167785234899329,19,"M","NR","5D"
"1390",1848,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_160",30,865,895,0.0335195530726257,19,"M","NR","5D"
"1391",1849,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_148",0,802,802,0,19,"M","NR","5D"
"1392",1850,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_154",5,889,894,0.00559284116331096,19,"M","NR","5D"
"1394",1852,"H04","kw93-25","ACTB","11D","ACTB_11D_S84_sort.bam","ACTB_51",8,21240,21248,0.000376506024096386,19,"M","NR","11D"
"1395",1853,"H04","kw93-25","CRF","5D","CRF_5D_S36_sort.bam","CRF_27",34,178,212,0.160377358490566,19,"M","NR","5D"
"1401",1863,"H04","kw93-25","BDNF","5D","BDNF_5D_S36_sort.bam","BDNF_48",299,21641,21940,0.0136280765724704,19,"M","NR","5D"
"1403",1865,"H04","kw93-25","ACTB","11D","ACTB_11D_S84_sort.bam","ACTB_29",2,21128,21130,9.46521533364884e-05,19,"M","NR","11D"
"1404",1866,"H04","kw93-25","ACTB","11D","ACTB_11D_S84_sort.bam","ACTB_36",7,21164,21171,0.000330640971139767,19,"M","NR","11D"
"1405",1867,"H04","kw93-25","ACTB","11D","ACTB_11D_S84_sort.bam","ACTB_49",3,21253,21256,0.0001411366202484,19,"M","NR","11D"
"1406",1868,"H04","kw93-25","BDNF","5D","BDNF_5D_S36_sort.bam","BDNF_26",3738,17927,21665,0.172536348949919,19,"M","NR","5D"
"1407",1869,"H04","kw93-25","ACTB","11D","ACTB_11D_S84_sort.bam","ACTB_74",1,21277,21278,4.69968982047185e-05,19,"M","NR","11D"
"1408",1870,"H04","kw93-25","CRF","5D","CRF_5D_S36_sort.bam","CRF_33",63,150,213,0.295774647887324,19,"M","NR","5D"
"1409",1871,"H04","kw93-25","CRF","5D","CRF_5D_S36_sort.bam","CRF_49",32,180,212,0.150943396226415,19,"M","NR","5D"
"1410",1872,"H04","kw93-25","CRF","5D","CRF_5D_S36_sort.bam","CRF_73",22,191,213,0.103286384976526,19,"M","NR","5D"
"1411",1873,"H04","kw93-25","CRF","5D","CRF_5D_S36_sort.bam","CRF_92",14,199,213,0.0657276995305164,19,"M","NR","5D"
"1412",1875,"H04","kw93-25","ACTB","11D","ACTB_11D_S84_sort.bam","ACTB_65",7,21271,21278,0.000328978287433029,19,"M","NR","11D"
"1415",1878,"H04","kw93-25","ACTB","11D","ACTB_11D_S84_sort.bam","ACTB_54",4,21263,21267,0.000188084826256642,19,"M","NR","11D"
"1416",1879,"H04","kw93-25","CRF","5D","CRF_5D_S36_sort.bam","CRF_95",19,194,213,0.0892018779342723,19,"M","NR","5D"
"1417",1880,"H04","kw93-25","ACTB","11D","ACTB_11D_S84_sort.bam","ACTB_71",3,21260,21263,0.000141090156610074,19,"M","NR","11D"
"1431",1899,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_92",0,1013,1013,0,19,"M","NR","5D"
"1433",1901,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_45",4,1026,1030,0.00388349514563107,19,"M","NR","5D"
"1434",1902,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_66",17,1011,1028,0.0165369649805447,19,"M","NR","5D"
"1445",1916,"H04","kw93-25","BDNF","5D","BDNF_5D_S36_sort.bam","BDNF_45",142,21476,21618,0.00656860024054029,19,"M","NR","5D"
"1448",1920,"H04","kw93-25","BDNF","5D","BDNF_5D_S36_sort.bam","BDNF_81",346,21490,21836,0.0158453929291079,19,"M","NR","5D"
"1450",1924,"H04","kw93-25","BDNF","5D","BDNF_5D_S36_sort.bam","BDNF_37",1407,20532,21939,0.0641323670176398,19,"M","NR","5D"
"1452",1928,"H04","kw93-25","BDNF","5D","BDNF_5D_S36_sort.bam","BDNF_57",357,21594,21951,0.016263495968293,19,"M","NR","5D"
"1455",1931,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_90",8,1005,1013,0.00789733464955577,19,"M","NR","5D"
"1456",1932,"H04","kw93-25","BDNF","5D","BDNF_5D_S36_sort.bam","BDNF_51",1350,20595,21945,0.0615174299384826,19,"M","NR","5D"
"1458",1934,"H04","kw93-25","NP","5D","NP_5D_S36_merge.bam","NP_132",10,977,987,0.0101317122593718,19,"M","NR","5D"
"1465",1942,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_151",60,809,869,0.0690448791714614,40,"F","NR","5E"
"1466",1945,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_148",1,807,808,0.00123762376237624,40,"F","NR","5E"
"1468",1947,"I11","kw94-31","ACTB","11E","ACTB_11E_S85_sort.bam","ACTB_74",6,24428,24434,0.000245559466317427,40,"F","NR","11E"
